ID,node,species,genus,family,order,subclass,class,phylum,resolution,category,SBS1,SBS2,SBS3,SBS4,LPS1,LPS2,LPS3,LPS4,LCS1,LCS2,LCS3,LCS4,GAS1,GAS2,GAS3,GAS4,ECS4,ECS4,ECS4,ECS4,EZS1,EZS2,EMS1,EMS2,EMS3,EMS4,LCAS1,LCAS2,LCAS3
31,Culicidae,NA,NA,Culicidae,Diptera,NA,Insecta,Arthropoda,family,invertebrate,0,0,0,0,0,0,1,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Tipulidae,NA,NA,Tipulidae,Diptera,NA,Insecta,Arthropoda,family,invertebrate,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Ceratopogonidae,NA,NA,Ceratopogonidae,Diptera,NA,Insecta,Arthropoda,family,invertebrate,0,0,0,3,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Chironomidae,NA,NA,Chironomidae,Diptera,NA,Insecta,Arthropoda,family,invertebrate,49,1,45,58,11,1,4,25,16,4,25,148,1,0,1,10,3,12,9,4,0,0,0,2,7,0,0,0,1
35,Stratiomyidae,NA,NA,Stratiomyidae,Diptera,NA,Insecta,Arthropoda,family,invertebrate,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Diptera,NA,NA,NA,Diptera,NA,Insecta,Arthropoda,order,invertebrate,0,0,0,0,2,0,0,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Pupae Diptera,NA,NA,NA,Diptera,NA,Insecta,Arthropoda,order,invertebrate,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Simulidae,NA,NA,Simulidae,Diptera,NA,Insecta,Arthropoda,family,invertebrate,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Thaumalidae,NA,NA,Thaumalidae,Diptera,NA,Insecta,Arthropoda,family,invertebrate,40,2,55,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Blephariceridae,NA,NA,Blephariceridae,Diptera,NA,Insecta,Arthropoda,family,invertebrate,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Ecnomidae,NA,NA,Ecnomidae,Trichoptera,NA,Insecta,Arthropoda,family,invertebrate,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Trichoptera,NA,NA,NA,Trichoptera,NA,Insecta,Arthropoda,order,invertebrate,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Integripalpia,NA,NA,Integripalpia,Trichoptera,NA,Insecta,Arthropoda,family,invertebrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
44,Glossomatidae,NA,NA,Glossomatidae,Trichoptera,NA,Insecta,Arthropoda,family,invertebrate,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Atriplectidae,NA,NA,Atriplectidae,Trichoptera,NA,Insecta,Arthropoda,family,invertebrate,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Crambidae,NA,NA,Crambidae,Trichoptera,NA,Insecta,Arthropoda,family,invertebrate,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Plecoptera,NA,NA,NA,Plecoptera,NA,Insecta,Arthropoda,order,invertebrate,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Palaemonidae,NA,NA,Palaemonidae,Decapoda,NA,Malacostraca,Arthropoda,family,invertebrate,3,1,2,0,0,1,0,10,346,153,41,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Trichodactylidae,NA,NA,Trichodactylidae,Decapoda,NA,Malacostraca,Arthropoda,family,invertebrate,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Aeglidae,NA,NA,Aeglidae,Decapoda,NA,Malacostraca,Arthropoda,family,invertebrate,8,13,60,12,0,0,0,1,0,0,0,0,4,6,9,6,4,0,0,0,0,0,0,0,0,0,6,0,0
51,Hyalelidae,NA,NA,Hyalelidae,Amphipoda,NA,Malacostraca,Arthropoda,family,invertebrate,9,0,2,1,0,0,0,0,8,12,71,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Planorbiidae,NA,NA,Planorbiidae,NA,NA,Gastropoda,Mollusca,family,invertebrate,1,3,1,1,5,1,4,2,4,6,5,0,0,0,0,0,0,0,0,2,5,3,3,2,1,0,1,0,0
53,Cochliopidae,NA,NA,Cochliopidae,Sorbeoconcha,NA,Gastropoda,Mollusca,family,invertebrate,897,307,88,78,82,23,104,88,0,0,0,0,5,0,1,6,1,25,28,25,91,19,530,40,46,10,26,19,28
54,Ampullaridae,NA,NA,Ampullaridae,Mesogastropoda,NA,Gastropoda,Mollusca,family,invertebrate,101,53,16,18,9,23,10,13,11,0,0,22,8,10,5,50,0,0,2,2,1,0,1,0,2,0,0,0,0
55,Ancylidae,NA,NA,Ancylidae,NA,NA,Gastropoda,Mollusca,family,invertebrate,0,0,0,0,22,6,0,0,5,3,7,15,4,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0
56,Physidae,NA,NA,Physidae,NA,NA,Gastropoda,Mollusca,family,invertebrate,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Mycetopodidae,NA,NA,Mycetopodidae,Unionida,NA,Bivalvia,Mollusca,family,invertebrate,0,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Hyriidae,NA,NA,Hyriidae,Unionida,NA,Bivalvia,Mollusca,family,invertebrate,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0
59,Sphaeriidae,NA,NA,Sphaeriidae,Sphaeriida,NA,Bivalvia,Mollusca,family,invertebrate,95,4,1,0,12,3,15,3,1,0,0,13,7,0,0,0,0,0,6,1,11,6,1,0,0,0,1,0,0
60,Mytilidae,NA,NA,Mytilidae,Mytiloida,NA,Bivalvia,Mollusca,family,invertebrate,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Corbiculidae,NA,NA,Corbiculidae,Veneroida,NA,Bivalvia,Mollusca,family,invertebrate,31,11,4,0,3,1,9,0,3,0,0,0,28,10,27,14,0,1,2,3,6,3,14,3,0,0,0,1,0
62,Bivalvia,NA,NA,NA,NA,NA,Bivalvia,Mollusca,class,invertebrate,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
63,Insecta,NA,NA,NA,NA,NA,Insecta,Arthropoda,class,invertebrate,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Hydrochidae,NA,NA,Hydrochidae,Coleoptera,NA,Insecta,Arthropoda,family,invertebrate,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
